PrimaryKey,zh-tw,en,ja
遊穗,遊穗,Yu-Zui,ゆずぃ
彩希,彩希,Aki,あき
大家好～歡迎來到UniAvatar範例,大家好～歡迎來到UniAvatar範例,Hello everyone ~ Welcome to Uniavatar sample,こんにちはみんな〜ユニアベーターサンプルへようこそ
這是一個簡單的對話系統架構與文字冒險遊戲的範例,這是一個簡單的對話系統架構與文字冒險遊戲的範例,This is an example of a simple dialogue system architecture and a text adventure game.,これは、簡単な対話システムアーキテクチャとテキストアドベンチャーゲームの例です。
可以簡單的利用編輯試算表的方式來編輯遊戲劇情,可以簡單的利用編輯試算表的方式來編輯遊戲劇情,You can make a simple way to edit the game plot by using the editorial trial table.,編集トライアルテーブルを使用してゲームプロットを編集する簡単な方法を作成できます。
如何操作這個專案的基本功能，請參考作者的部落格,如何操作這個專案的基本功能，請參考作者的部落格,"How to operate the basic feature of this item, please refer to the author's tribe",この項目の基本機能を操作する方法は、著者の部族を参照してください
AkiSmile,AkiSmile,Akismile,a a
各項功能的開發細節，與新增方法等，之後會陸續發布在部落格上，敬請期待！,各項功能的開發細節，與新增方法等，之後會陸續發布在部落格上，敬請期待！,"Details of various functions, with new methods, etc., will be released on the tribe, so stay tuned!",さまざまな機能の詳細は、新しい方法などを伴う、部族でリリースされますので、調整されています！
這樣理解了嗎，還是要再看一次呢？,這樣理解了嗎，還是要再看一次呢？,"Do you understand this, or still watch it again?",あなたはこれを理解していますか、それでもそれをも​​う一度見ていますか？
理解了！,理解了！,Understand!,理解！
理解,理解,understand,理解する
那麼這個範例就到這邊結束了！,那麼這個範例就到這邊結束了！,Then this example is over here!,この例はここにあります！
感謝你的遊玩！,感謝你的遊玩！,Thank you for your play!,プレイしていただいきありがとうございます！
再看一次,再看一次,See it again,もう一度見てください
,,#VALUE!,#VALUE!
來考考你喔，站在我旁邊的，是叫做什麼名字呢？,來考考你喔，站在我旁邊的，是叫做什麼名字呢？,"Take a test of you, standing next to me, what is the name?",私の隣に立って、あなたのテストを受けてください、名前は何ですか？
柿子,柿子,Persimmon,柿
羽愛,羽愛,Hane,羽愛
紫妡,紫妡,Murasaki,紫妡
音奈,音奈,Nana,音奈
答錯了喔，再試一次吧,答錯了喔，再試一次吧,"I have answered, try again.",私は答えました、もう一度やり直してください。
答對了！太好了,答對了！太好了,bingo! Great,ビンゴ！グレート
,,#VALUE!,#VALUE!